Run,Mean Queue Time
0,56.73310745077219
1,40.59931413849338
2,52.75410724334836
3,48.251067736465934
4,49.83302574063548
5,54.64083625872549
6,48.646854412955044
7,57.54263117136619
8,43.75160415252501
9,51.23898853344348
0,6.2400345868504905
1,8.489021074580421
2,7.73949537319086
3,6.240692213208512
4,4.727936739297245
5,5.672705357694999
6,7.010586287513064
7,7.788093586002738
8,4.6646759461016964
9,5.4989074289770405
0,0.02746078505699434
0,0.03091186783826967
1,0.01468993641178
2,0.021407400625225764
3,0.014108755512742887
4,0.013790690504845165
5,0.006628179255273218
6,0.017824939243172824
7,0.008237241327450915
8,0.006499992294906156
9,0.012253462765793206
10,0.015481036827138348
11,0.030423407167015463
12,0.010846799955579309
13,0.027992604268482466
14,0.019606024610853753
15,0.018475974247645004
16,0.017390826224925895
17,0.007408975931627127
18,0.02240684501716021
19,0.01195653446198025
20,0.030831530711696326
21,0.006993114425519999
22,0.006419893479953303
23,0.016734472731049124
24,0.02825902003111687
25,0.010562948491212434
26,0.019255625072063066
27,0.026984056485575916
28,0.00964686440685234
29,0.019397980952091724
30,0.022796069005118012
31,0.007490770766606053
32,0.01570238304603606
33,0.015916464891803903
34,0.011279610908119245
35,0.01756606781616277
36,0.013349105745065624
37,0.028599330676475267
38,0.01673639311191917
39,0.011231135258137839
40,0.020852661326121808
41,0.01659354983210848
42,0.04557652805140409
43,0.03323796257026937
44,0.014844182657564558
45,0.019958305061823035
46,0.017624330867026784
47,0.013646651404580292
48,0.018108269215098012
49,0.01798375467726548
50,0.013690208198273494
51,0.015301814995084897
52,0.023453399052983836
53,0.04140773077758943
54,0.008410915643207008
55,0.017517860693240715
56,0.027977558376006444
57,0.012750348204102997
58,0.001462907470975824
59,0.01754902533498904
60,0.012010454369121647
61,0.015782238654712736
62,0.007782416415762562
63,0.017553758830372763
64,0.02196930074460245
65,0.01029753382735378
66,0.03455915578100615
67,0.011769362276594074
68,0.029012259930845465
69,0.04270076614920713
70,0.014141205197425727
71,0.015315973392717577
72,0.019071788978935862
73,0.027340498459207517
74,0.029453616209496724
75,0.023114951734012686
76,0.006505748338186663
77,0.0393791724179745
78,0.006424856397894952
79,0.020976297208365916
80,0.03822185841496285
81,0.01874582423717272
82,0.019198577672066834
83,0.013675622492895707
84,0.00931642852089066
85,0.012943913197076584
86,0.014721147272246281
87,0.01807387010384797
88,0.015897603454504368
89,0.02256162958328844
90,0.007174628841067276
91,0.01864998946861522
92,0.01976517918947988
93,0.030702014199900984
94,0.019203572731118272
95,0.012793072868000119
96,0.03155239423048952
97,0.01035819136787103
98,0.02355122284163283
99,0.017064416132646188
100,0.006552838439489144
101,0.026585391795750993
102,0.01811248507421379
103,0.019079247394431734
104,0.015228593559037782
105,0.031184440796608533
106,0.023522696561045036
107,0.01702678543702254
108,0.01932965473443036
109,0.028040959142569155
110,0.02228238674608335
111,0.012928754174160178
112,0.008528342391390024
113,0.02447745649066742
114,0.029346395927174133
115,0.015701677034824342
116,0.017149259777504495
117,0.018208853680385193
118,0.009782969547904152
119,0.007214292098146672
120,0.01707837553101286
121,0.02370614582781211
122,0.015883353461514586
123,0.010334638802262599
124,0.012914721767880489
125,0.0043406075198257395
126,0.023800619237795615
127,0.045388087020527504
128,0.010376188094339383
129,0.01801637806302794
130,0.008882270524566057
131,0.014146803930716649
132,0.029633498789906842
133,0.017250899245680386
134,0.012308307843934906
135,0.012514088275154656
136,0.02889831475979571
137,0.00687277581356751
138,0.03269736029599385
139,0.01891639999422967
140,0.017833677940334337
141,0.003918909091714469
142,0.011012486240420066
143,0.01201040656815902
144,0.008679090660397492
145,0.015119783124369884
146,0.006219587255336679
147,0.03284877130245825
148,0.014644486906170543
149,0.017791446212227034
150,0.019435149857297117
151,0.012448945894237338
152,0.02013900075063076
153,0.012806038218138197
154,0.016480398140689592
155,0.016504288166380818
156,0.02142602380760157
157,0.008059452340425639
158,0.00864613113826374
159,0.019351801849330084
160,0.02711867177033076
161,0.005771302354301212
162,0.011333973381902373
163,0.013804517666655228
164,0.005315953754569692
165,0.005597731050825207
166,0.018744780850087198
167,0.01310199194252508
168,0.012494984211360003
169,0.018406949620871867
170,0.030967814830042163
